filename,genre,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"Silentroom vs Frums - Aegleseeker (Cansol Piano Ar - 1.Silentroom vs Frums - Aegleseeker (Can(Av973005026,P1).mp3",,901.2403594,26.95126629,92.28515625,0.050992296,14.550552,0.605814916
"【翻唱】致我所珍视的人（大切な人たちへ）cover.by 白咲べる - 1.致我所珍视的人(Av885435952,P1).mp3",,1901.883398,26.40883633,69.83741554,0.0494395,16.60787,0.325852232
"【歌ってみた】垂直落下 covered by ヰ世界情緒 - 1.ヰ世界情緒_垂直落下(Av925826419,P1).mp3",,2117.797639,24.65732889,95.703125,0.048759837,16.231913,0.233620344
"【异世界情绪】#10《シリウスの心臓_天狼星的心脏》 - 1.【中字】天狼星的心脏(Av245856254,P1).mp3",,2124.114809,25.20802653,112.3471467,0.048241927,12.966617,0.20374425
"【异世界情绪】日文翻唱《海の幽霊_海的幽灵》 - 1.ヰ世界情緒_海の幽霊_zhang(Av550194449,P1).mp3",,2173.065845,24.96483259,89.10290948,0.049133048,13.296411,0.197057876
"『MAD 中日歌詞』 劇場版 遊戲人生 Zero 主題曲： THERE IS A REASON -  - 1.1(Av16040894,P1).mp3",,2267.893056,24.3469766,135.9991776,0.048580699,15.776799,0.19402124
01 ｉｎ　ｆａｃｔ.wav,,2038.806631,24.45085535,83.35433468,0.04890958,12.257769,0.19131988
"冬之花，但是高音质(24bit 96khz flac) - 1.1(Av296055534,P1).mp3",,2005.498634,22.81138748,99.38401442,0.048904684,15.045616,0.19026237
"【ナースロボ＿タイプＴ Caramel Act.2】たぶん _ 大概【UTAU cover +UST - 1.たぶん(Av796569992,P1).mp3",,2033.060012,23.89752187,89.10290948,0.048972776,13.088824,0.188846401
"【异世界情绪】日文翻唱《誰か、海を。_谁来、将海。》 - 1.ヰ世界情緒_誰か、海を。_最终(Av546832696,P1).mp3","J-Pop,Anime Song,Electronic,Ambient,Experimental",2260.428012,24.30945221,143.5546875,0.048412383,14.712647,0.181271641
