filename,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"Silentroom vs Frums - Aegleseeker (Cansol Piano Ar - 1.Silentroom vs Frums - Aegleseeker (Can(Av973005026,P1).mp3",901.2403594044328,26.951266291644277,92.28515625,19.610806,14.550552,0.765190256991175
"【翻唱】致我所珍视的人（大切な人たちへ）cover.by 白咲べる - 1.致我所珍视的人(Av885435952,P1).mp3",1901.883398366157,26.408836329793537,69.83741554054055,20.226742,16.60787,0.3233930196107113
"【歌ってみた】垂直落下 covered by ヰ世界情緒 - 1.ヰ世界情緒_垂直落下(Av925826419,P1).mp3",2117.7976389206806,24.65732889055151,95.703125,20.508682,16.231913,0.22883378240194785
"【异世界情绪】#10《シリウスの心臓_天狼星的心脏》 - 1.【中字】天狼星的心脏(Av245856254,P1).mp3",2124.1148088245845,25.20802653039172,112.34714673913044,20.728857,12.966617,0.1976008398404619
"【异世界情绪】日文翻唱《海の幽霊_海的幽灵》 - 1.ヰ世界情緒_海の幽霊_zhang(Av550194449,P1).mp3",2173.065844629165,24.96483258840474,89.10290948275862,20.3529,13.296411,0.19491591875014216
"『MAD 中日歌詞』 劇場版 遊戲人生 Zero 主題曲： THERE IS A REASON -  - 1.1(Av16040894,P1).mp3",2267.893056134036,24.3469765989325,135.99917763157896,20.584307,15.776799,0.19061339359948776
01 ｉｎ　ｆａｃｔ.wav,2038.8066309248504,24.45085535145138,83.35433467741936,20.445892,12.257769,0.18762370317561006
"冬之花，但是高音质(24bit 96khz flac) - 1.1(Av296055534,P1).mp3",2005.498634204976,22.81138748400141,99.38401442307692,20.447939,15.045616,0.1863860981671146
"【ナースロボ＿タイプＴ Caramel Act.2】たぶん _ 大概【UTAU cover +UST - 1.たぶん(Av796569992,P1).mp3",2033.0600124875784,23.89752187221979,89.10290948275862,20.419508,13.088824,0.18547673627964165
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 7.今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）(Av300361986,P7).mp3",2167.4883036374954,25.248058478913624,172.265625,20.351786,12.740547,0.17939088126323982
"【异世界情绪】日文翻唱《誰か、海を。_谁来、将海。》 - 1.ヰ世界情緒_誰か、海を。_最终(Av546832696,P1).mp3",2260.4280123039634,24.309452212027413,143.5546875,20.655872,14.712647,0.17768539727088348
"【V.W.P】《言霊_言灵》 _ V.W.P #6【Original MV】 - 1.言霊_220117_zhang(Av253310569,P1).mp3",2264.4023785529166,24.03051335521988,86.1328125,20.542397,14.5861435,0.17756290370726052
"「有什么不好」—結束バンド【孤独摇滚】 - 1.【中日歌词_完整版】孤独摇滚ED3「有什么不好」—結束バンド【孤独摇滚】(Av475500353,P1).mp3",2217.1272827749453,23.281016480569228,123.046875,20.215885,15.38044,0.17360342497815745
"【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ - 1.【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ(Av98634874,P1).mp3",2407.9507831567616,24.980626554727667,107.666015625,20.46257,13.699474,0.17153926622645288
"【歌ってみた】蜜月アン・ドゥ・トロワ covered by ヰ世界情緒 - 1.ヰ世界情緒_蜜月アンドゥトロワ(Av83986529,P1).mp3",2372.958926706071,25.03621837636746,184.5703125,20.425377,14.406434,0.1703333226174117
"【ナースロボ＿タイプＴ】milk【UTAUcover】 - 1.milk(Av632543544,P1).mp3",2191.405965744016,22.41160881802409,112.34714673913044,20.064983,16.260801,0.1693050786761156
"【异世界情绪】日文翻唱《カミノコトバ_神的话语》 - 1.【情】神的话语(Av843779161,P1).mp3",2003.5361751611124,22.81985810636113,112.34714673913044,20.640211,13.738843,0.16643146941169773
"【官方】King Gnu - 《Prayer X》MV（动画《战栗杀机》ED） - 1.Prayer X_fin0911(Av678263203,P1).mp3",2037.394789247754,22.381719146056263,86.1328125,20.034357,14.360525,0.16588095125661304
"冰雪消融之时，我们能否「再会」？【艾因Eine&勺Shaun】翻唱 - 1.再会【艾因&勺】(Av418809225,P1).mp3",2593.652613059741,25.697490815047697,89.10290948275862,20.345724,13.383694,0.16587683192400055
